🔒 Row ID,Nombre,Categoria,Cantidad,PrecioUnitario,Proveedor,Imagen,Descripción,FechaRegistro,Estado,Proveedores ID,Email Cliente,Nombre,Teléfono,Dirección
prd-001,Brocha para pintar,Herramientas,100,5.99,Ferretería ABC,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1761780975074-adc1049f-030b-42f7-b6d6-987e41e344ab.jpg,Brocha blanca de alta calidad para pintar paredes y cielo raso. Ideal para aplicaciones de esmalte y yeso.,2025-10-29T00:00:00.000Z,Activo,prv-008,,,,
prd-002,Llave inglesa,Herramientas,50,9.99,Ferretería DEF,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1761780974465-f4f97ece-a6a6-4f42-8b8d-9ed44ee9ed93.jpg,Llave inglesa para aprietar tornillos y bisagras de alta calidad. Mango resistente a la corrosión y fácil de manejar.,2025-10-28T00:00:00.000Z,No Disponible,prv-007,,,,
prd-003,Cinta de aislamiento,Materiales de construcción,200,2.99,Ferretería GHI,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1761780975134-d0a18b76-4118-4b09-aa2c-5748f945e8f2.jpg,Cinta de aislamiento para paredes y techos de alta calidad. Resistente a la humedad y a los insectos.,2025-10-27T00:00:00.000Z,Activo,prv-004,,,,
prd-004,Destornillador,Herramientas,75,7.99,Ferretería JKL,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1761780975052-e4451ae5-ef9a-435f-813f-803178923aee.jpg,Destornillador para apretar y aflojar tornillos de alta calidad. Mango de aluminio resistente y fácil de manejar.,2025-10-26T00:00:00.000Z,No Disponible,prv-006,,,,
prd-005,Pintura blanca,Pinturas y barnices,300,1.99,Ferretería MNO,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1759272223156-518eebf2-4f1f-45a4-9950-96b9f33d73bb.jpg,Pintura blanca de alta calidad para paredes y techos. Adecuada para aplicaciones de esmalte y yeso.,2025-10-25T00:00:00.000Z,Activo,prv-002,,,,
prd-006,Chaveta,Herramientas,150,4.99,Ferretería PQR,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1761780974406-e5a0029d-9d51-4155-9606-10851b7e207e.jpg,Chaveta para cortar madera de alta calidad. Mango de aluminio resistente y fácil de manejar.,2025-10-24T00:00:00.000Z,No Disponible,prv-005,,,,
prd-007,Cinta adhesiva,Materiales de construcción,250,3.99,Ferretería STU,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1761780975093-7cee4bb2-092f-402b-be91-8b7d082b13f4.jpg,Cinta adhesiva para paredes y techos de alta calidad. Resistente a la humedad y a los insectos.,2025-10-23T00:00:00.000Z,Activo,prv-002,,,,
prd-008,Martillo,Herramientas,100,10.99,Ferretería VWX,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1759272223113-eeb90d7b-a8cd-466f-9cce-c925d96aebb4.jpg,Martillo para golpear y apretar clavos de alta calidad. Mango de madera resistente y fácil de manejar.,2025-10-22T00:00:00.000Z,No Disponible,prv-002,,,,
prd-009,Pintura azul,Pinturas y barnices,200,2.99,Ferretería YZA,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1761780974228-e937af88-178d-4796-b2a6-8e103d48eecd.jpg,Pintura azul de alta calidad para paredes y techos. Adecuada para aplicaciones de esmalte y yeso.,2025-10-21T00:00:00.000Z,Activo,prv-004,,,,
prd-010,Llave para cerraduras,Herramientas,50,14.99,Ferretería ABC,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1761780974662-5cc258f6-770d-47a1-bedc-1714ed8bf1f8.jpg,Llave para cerraduras de alta calidad. Mango de aluminio resistente y fácil de manejar.,2025-10-20T00:00:00.000Z,No Disponible,prv-007,,,,
gPU.-K8VTRe9v-luBKpIGA,sierra de mano,Herramienta,200,2,,,,,,,,,,
